tract_2010,tract_2020,area_pct
428301,428301,0.9118
428302,428301,0.002
428302,428302,0.998
428400,428400,1.0
428500,428500,1.0
428600,428600,1.0
427300,428700,0.0017
428700,428700,1.0
981900,428700,0.0
983200,428700,0.0
430101,430101,1.0
430102,430101,0.0
435200,430101,0.0055
404600,430102,0.0098
408000,430102,0.0012
408100,430102,0.0054
409900,430102,0.0381
410000,430102,0.0309
430102,430102,0.9961
430300,430102,0.2106
430200,430200,1.0
430102,430300,0.0005
430300,430300,0.7894
410000,430400,0.0009
430400,430400,0.9958
430500,430500,0.9989
430600,430600,1.0
430700,430700,1.0
430800,430800,1.0
430900,430900,1.0
431000,431000,1.0
431100,431100,1.0
431200,431200,1.0
410000,432100,0.0076
432100,432100,0.9784
432200,432200,1.0
409200,432300,0.0094
409300,432300,0.0008
432300,432300,1.0
409000,432400,0.0024
432400,432400,0.9939
990000,432400,
432501,432501,1.0
409200,432502,0.0143
432502,432502,0.9996
432600,432601,0.6336
432600,432602,0.3664
432100,432700,0.0
432700,432700,1.0
410000,432800,0.0006
432100,432800,0.0001
432800,432800,0.9968
433000,433000,0.9947
433000,433102,0.003
433102,433102,0.9996
433800,433102,0.0421
433000,433103,0.0023
433103,433103,1.0
433104,433104,1.0
433200,433200,0.9939
433700,433200,0.0136
433200,433300,0.0016
433300,433300,1.0
433400,433300,0.0109
433400,433400,0.9891
435900,433400,0.0008
990000,433400,
433500,433500,1.0
433200,433600,0.0045
433600,433600,1.0
433700,433700,0.9794
433800,433801,0.3749
433102,433802,0.0004
433800,433802,0.583
433900,433900,1.0
430500,434000,0.0011
433700,434000,0.007
434000,434000,1.0
435102,435102,0.9969
436402,435102,0.0002
435103,435103,1.0
435104,435103,0.0002
435200,435103,0.0007
435103,435104,0.0
435104,435104,0.9998
435200,435200,0.9939
435300,435300,1.0
435400,435400,1.0
435500,435500,1.0
435601,435601,1.0
435602,435602,1.0
435700,435700,1.0
435800,435800,1.0
433400,435900,0.0001
435900,435900,0.9618
437101,435900,0.0018
436000,436000,1.0
437101,436000,0.0006
436100,436100,1.0
437101,436100,0.0001
436200,436200,1.0
436300,436301,0.5776
436300,436302,0.4224
435102,436402,0.0031
435103,436402,0.0
436401,436402,0.0002
436402,436402,0.9996
436401,436403,0.4951
436401,436404,0.5047
436402,436404,0.0002
436500,436500,1.0
436601,436601,1.0
436602,436602,1.0
437400,436602,0.0025
436700,436700,1.0
436800,436800,1.0
436900,436900,1.0
437000,437000,1.0
435900,437101,0.0374
436000,437101,0.0
437101,437101,0.9883
440331,437101,0.0515
440332,437101,0.0931
441503,437101,0.0076
437102,437102,1.0
437200,437200,1.0
437300,437300,1.0
437400,437400,0.9975
437500,437500,1.0
437600,437600,1.0
437701,437701,1.0
437702,437702,1.0
437800,437800,1.0
437900,437900,1.0
438000,438000,1.0
438100,438100,0.9974
438201,438201,0.9855
438203,438201,0.0006
438201,438203,0.0145
438203,438203,0.992
440333,438203,0.0033
438204,438204,1.0
438300,438300,1.0
438400,438400,1.0
440100,440100,0.9864
441100,440100,0.0053
440200,440200,1.0
440308,440200,0.0005
438100,440301,0.0026
438203,440301,0.0072
440301,440301,1.0
440304,440304,1.0
440305,440305,1.0
440306,440305,0.0011
440306,440306,0.9989
441522,440306,0.0018
440307,440307,0.9993
440308,440308,0.9995
440331,440331,0.9485
437101,440332,0.0013
440332,440332,0.9055
438203,440333,0.0002
440333,440333,0.9967
440334,440334,0.99
440336,440336,0.9922
441301,440336,0.0188
440335,440337,0.5635
441200,440337,0.0013
440335,440338,0.4316
440100,441100,0.0136
441100,441100,0.9935
450701,441100,0.0004
440335,441200,0.0048
441200,441200,0.9987
441301,441200,0.0001
440336,441301,0.0078
441301,441301,0.9811
441302,441302,1.0
441401,441401,0.9829
440307,441402,0.0007
441401,441402,0.0145
441402,441402,1.0
441501,441501,0.8763
437101,441503,0.0079
440332,441503,0.0014
441501,441503,0.1237
441503,441503,0.9222
441521,441503,0.0512
444302,441503,0.0145
441521,441521,0.9488
440334,441522,0.01
441522,441522,0.9982
441523,441523,1.0
441524,441524,1.0
441503,441525,0.06
441401,441601,0.0027
441601,441601,1.0
441602,441602,1.0
441700,441701,0.4938
441700,441702,0.506
441800,441800,1.0
441921,441921,1.0
441923,441923,1.0
441924,441924,1.0
441926,441926,1.0
442500,441926,0.0008
441927,441927,1.0
441925,441928,0.8394
441925,441929,0.1606
442000,442000,0.9693
450701,442000,0.0003
442100,442100,1.0
442302,442100,0.0232
442000,442200,0.0002
442200,442200,0.9954
442200,442301,0.0046
442301,442301,0.9749
442301,442302,0.0251
442302,442302,0.9768
442400,442400,1.0
442500,442501,0.5028
442500,442502,0.4965
442601,442601,1.0
441700,442602,0.0002
442602,442602,1.0
442700,442700,1.0
442800,442800,1.0
442900,442900,1.0
443001,443001,1.0
443002,443002,1.0
443102,443102,1.0
443103,443103,0.9982
450701,443103,0.0041
443104,443104,1.0
443105,443105,1.0
443200,443200,0.9906
443301,443200,0.0133
450701,443200,0.0036
443301,443301,0.9867
443321,443321,1.0
443322,443322,1.0
444100,444100,1.0
444200,444200,1.0
444301,444301,1.0
444302,444303,0.2543
441503,444304,0.0072
444302,444304,0.7312
444400,444400,1.0
444500,444500,0.9977
444500,444601,0.0023
444601,444601,1.0
441503,444602,0.003
444602,444602,1.0
450101,450101,1.0
450102,450102,1.0
450200,450200,1.0
450300,450300,0.9998
450400,450400,0.9983
450501,450501,1.0
450502,450502,1.0
450601,450601,1.0
450300,450603,0.0001
450603,450603,1.0
450743,450603,0.0
450604,450604,1.0
450605,450605,1.0
450606,450606,1.0
450607,450607,0.9825
450602,450608,0.5666
450602,450609,0.4334
441100,450701,0.0012
442000,450701,0.0305
443103,450701,0.0018
443200,450701,0.0094
450701,450701,0.9915
450742,450701,0.0008
451102,450701,0.003
450607,450741,0.0175
450741,450741,1.0
450742,450742,0.9967
450300,450743,0.0001
450743,450743,0.9968
450743,450744,0.0031
450744,450744,1.0
451300,450744,0.0008
450742,450745,0.0026
450745,450745,1.0
450746,450746,1.0
450750,450750,0.9848
450750,450751,0.0152
450751,450751,1.0
450752,450751,0.0008
450102,450752,0.0
450752,450752,0.9992
451202,450752,0.0003
450701,451102,0.0
451102,451102,0.997
450701,451103,0.0001
451101,451103,0.109
451101,451104,0.8901
451201,451201,0.9972
451202,451202,0.9997
451300,451202,0.0009
451300,451300,0.9981
451401,451300,0.0006
451300,451401,0.0001
451401,451401,0.9994
451403,451403,1.0
451404,451404,1.0
451501,451501,1.0
451503,451503,1.0
451201,451504,0.0028
451504,451504,1.0
451505,451505,1.0
451506,451506,1.0
451601,451601,1.0
451602,451602,1.0
451701,451701,1.0
451703,451703,1.0
451704,451704,1.0
981900,981900,1.0
982000,982000,1.0
400100,982100,0.0001
421600,982100,0.0009
422500,982100,0.0012
422600,982100,0.9858
422700,982100,0.0028
427300,983200,0.0
428700,983200,0.0
983200,983200,1.0
990000,990000,
