total_pop,pop_white_non_hisp,pop_black,pop_asian,pop_hispanic,median_hh_income,pop_poverty,pop_poverty_total,labor_force,unemployed,median_gross_rent,housing_units_total,housing_units_vacant,median_year_built,avg_household_size,renter_households_total,burden_30_35,burden_35_40,burden_40_50,burden_50_plus,state,county,tract,id,pct_white,pct_black,pct_asian,pct_hispanic,unemployment,poverty_rate,vacancy_rate,occupancy_rate,rent_burden
2662.0,1324.0,133.0,643.0,359.0,126563.0,158.0,2483.0,1481.0,112.0,2001.0,1029.0,75.0,1968.0,2.46,131.0,0.0,0.0,10.0,14.0,06,001,408000,408000,49.7,5.0,24.2,13.5,7.6,6.4,7.3,92.7,18.3
3997.0,594.0,1949.0,302.0,926.0,50076.0,546.0,3963.0,2225.0,227.0,1001.0,1940.0,234.0,1949.0,2.34,833.0,63.0,21.0,157.0,217.0,06,001,408200,408200,14.9,48.8,7.6,23.2,10.2,13.8,12.1,87.9,55.0
3382.0,788.0,1770.0,316.0,425.0,112059.0,130.0,3377.0,1897.0,214.0,1408.0,1429.0,93.0,1960.0,2.51,148.0,0.0,18.0,0.0,42.0,06,001,409900,409900,23.3,52.3,9.3,12.6,11.3,3.8,6.5,93.5,40.5
3009.0,1602.0,89.0,913.0,205.0,77167.0,242.0,3009.0,1675.0,120.0,1341.0,1258.0,40.0,1945.0,2.47,708.0,23.0,49.0,15.0,247.0,06,001,420200,420200,53.2,3.0,30.3,6.8,7.2,8.0,3.2,96.8,47.2
2054.0,1286.0,53.0,496.0,103.0,68088.0,144.0,2047.0,1061.0,91.0,1355.0,1013.0,129.0,1944.0,2.31,471.0,0.0,57.0,26.0,135.0,06,001,420500,420500,62.6,2.6,24.1,5.0,8.6,7.0,12.7,87.3,46.3
4431.0,727.0,772.0,1483.0,924.0,64693.0,255.0,4427.0,2571.0,283.0,1189.0,1470.0,0.0,1963.0,3.01,679.0,31.0,0.0,50.0,107.0,06,001,432502,432502,16.4,17.4,33.5,20.9,11.0,5.8,0.0,100.0,27.7
4134.0,398.0,706.0,574.0,2276.0,42775.0,978.0,4134.0,2192.0,223.0,1035.0,1532.0,13.0,1969.0,2.72,1331.0,96.0,175.0,59.0,361.0,06,001,433103,433103,9.6,17.1,13.9,55.1,10.2,23.7,0.8,99.2,51.9
3623.0,997.0,677.0,727.0,1054.0,51208.0,242.0,3600.0,2083.0,219.0,1149.0,1824.0,99.0,1973.0,2.06,1132.0,158.0,72.0,76.0,170.0,06,001,433104,433104,27.5,18.7,20.1,29.1,10.5,6.7,5.4,94.6,42.0
6288.0,2116.0,397.0,2966.0,521.0,135778.0,365.0,6272.0,3422.0,262.0,2001.0,2119.0,51.0,1994.0,3.02,196.0,34.0,40.0,0.0,37.0,06,001,435103,435103,33.7,6.3,47.2,8.3,7.7,5.8,2.4,97.6,56.6
5338.0,1289.0,501.0,1330.0,1941.0,60673.0,707.0,5336.0,3057.0,252.0,1370.0,2061.0,158.0,1979.0,2.8,1396.0,145.0,123.0,42.0,419.0,06,001,435104,435104,24.1,9.4,24.9,36.4,8.2,13.2,7.7,92.3,52.2
5284.0,717.0,478.0,167.0,3123.0,47139.0,1547.0,5095.0,2384.0,344.0,1156.0,1677.0,126.0,1967.0,3.31,1087.0,120.0,190.0,41.0,278.0,06,001,435601,435601,13.6,9.0,3.2,59.1,14.4,30.4,7.5,92.5,57.9
5252.0,1343.0,334.0,444.0,2876.0,54920.0,1067.0,5016.0,2533.0,370.0,1123.0,1638.0,121.0,1956.0,3.26,957.0,109.0,17.0,44.0,224.0,06,001,435602,435602,25.6,6.4,8.5,54.8,14.6,21.3,7.4,92.6,41.2
6064.0,1342.0,401.0,3213.0,945.0,100968.0,155.0,6064.0,3420.0,303.0,1884.0,1892.0,92.0,1976.0,3.36,109.0,15.0,4.0,0.0,21.0,06,001,437101,437101,22.1,6.6,53.0,15.6,8.9,2.6,4.9,95.1,36.7
4375.0,578.0,667.0,1728.0,1205.0,60667.0,437.0,4352.0,2399.0,365.0,1204.0,1408.0,0.0,1973.0,3.11,602.0,66.0,62.0,68.0,142.0,06,001,437102,437102,13.2,15.2,39.5,27.5,15.2,10.0,0.0,100.0,56.1
4048.0,349.0,346.0,438.0,2485.0,55900.0,914.0,4018.0,2033.0,281.0,1177.0,1075.0,99.0,1967.0,4.11,775.0,82.0,124.0,53.0,218.0,06,001,437701,437701,8.6,8.5,10.8,61.4,13.8,22.7,9.2,90.8,61.5
4726.0,224.0,370.0,372.0,3176.0,37851.0,1805.0,4633.0,2210.0,508.0,1154.0,1106.0,86.0,1973.0,4.63,931.0,140.0,124.0,69.0,299.0,06,001,437702,437702,4.7,7.8,7.9,67.2,23.0,39.0,7.8,92.2,67.9
