City,Census Tract,TANC Local,Match_ID,NAME,Total,White,Black,Asian,Hispanic,Median Rent,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25070_001E,state,county,Tract_ID,Burdened_Households,Rent Burden
Oakland,410300,EOL,410300,Census Tract 4103; Alameda County; California,3967.0,39.0,535.0,71.0,3288.0,1920.0,14.0,15.0,22.0,392.0,647.0,06,001,410300,443.0,68.5
Oakland,410400,EOL,410400,Census Tract 4104; Alameda County; California,4633.0,303.0,1490.0,272.0,2403.0,1776.0,114.0,0.0,6.0,157.0,710.0,06,001,410400,277.0,39.0
Oakland,406800,EOL (Hills),406800,Census Tract 4068; Alameda County; California,3905.0,1072.0,820.0,707.0,948.0,2496.0,55.0,0.0,49.0,105.0,459.0,06,001,406800,209.0,45.5
Oakland,408000,EOL (Hills),408000,Census Tract 4080; Alameda County; California,2767.0,1625.0,264.0,492.0,300.0,3501.0,12.0,5.0,0.0,61.0,142.0,06,001,408000,78.0,54.9
Oakland,408100,EOL (Hills),408100,Census Tract 4081; Alameda County; California,7552.0,2214.0,2239.0,1841.0,876.0,1985.0,24.0,17.0,16.0,86.0,314.0,06,001,408100,143.0,45.5
Oakland,409900,EOL (Hills),409900,Census Tract 4099; Alameda County; California,3904.0,995.0,1719.0,206.0,479.0,2702.0,22.0,0.0,0.0,30.0,151.0,06,001,409900,52.0,34.4
Oakland,410000,EOL (Hills),410000,Census Tract 4100; Alameda County; California,3053.0,985.0,1323.0,393.0,152.0,3096.0,0.0,0.0,0.0,62.0,125.0,06,001,410000,62.0,49.6
Piedmont,426100,NW,426100,Census Tract 4261; Alameda County; California,6160.0,4152.0,1.0,1571.0,118.0,3501.0,0.0,0.0,0.0,0.0,116.0,06,001,426100,0.0,0.0
Piedmont,426200,NW,426200,Census Tract 4262; Alameda County; California,4852.0,3090.0,79.0,913.0,338.0,3501.0,7.0,4.0,0.0,23.0,256.0,06,001,426200,34.0,13.3
Emeryville,425101,NW,425101,Census Tract 4251.01; Alameda County; California,1677.0,818.0,39.0,427.0,187.0,2458.0,72.0,75.0,68.0,222.0,729.0,06,001,425101,437.0,59.9
Emeryville,425102,NW,425102,Census Tract 4251.02; Alameda County; California,3901.0,1000.0,579.0,1653.0,316.0,2931.0,164.0,156.0,317.0,236.0,1722.0,06,001,425102,873.0,50.7
Emeryville,425103,NW,425103,Census Tract 4251.03; Alameda County; California,3108.0,861.0,901.0,955.0,246.0,2916.0,75.0,119.0,51.0,324.0,1336.0,06,001,425103,569.0,42.6
Emeryville,425104,NW,425104,Census Tract 4251.04; Alameda County; California,4070.0,1833.0,683.0,737.0,545.0,2487.0,90.0,74.0,90.0,306.0,1533.0,06,001,425104,560.0,36.5
Oakland,400200,NW,400200,Census Tract 4002; Alameda County; California,2093.0,1408.0,43.0,256.0,196.0,2949.0,9.0,0.0,4.0,29.0,355.0,06,001,400200,42.0,11.8
Oakland,400300,NW,400300,Census Tract 4003; Alameda County; California,5727.0,3365.0,524.0,609.0,497.0,2246.0,162.0,172.0,137.0,258.0,1632.0,06,001,400300,729.0,44.7
Oakland,400400,NW,400400,Census Tract 4004; Alameda County; California,4395.0,2645.0,433.0,422.0,604.0,2485.0,10.0,9.0,105.0,119.0,827.0,06,001,400400,243.0,29.4
Oakland,400500,NW,400500,Census Tract 4005; Alameda County; California,3822.0,1696.0,911.0,306.0,557.0,2154.0,116.0,15.0,78.0,186.0,871.0,06,001,400500,395.0,45.4
Oakland,400600,NW,400600,Census Tract 4006; Alameda County; California,1957.0,801.0,544.0,101.0,198.0,2268.0,46.0,0.0,0.0,120.0,438.0,06,001,400600,166.0,37.9
Oakland,400700,NW,400700,Census Tract 4007; Alameda County; California,4404.0,2230.0,1054.0,278.0,453.0,2185.0,115.0,0.0,100.0,301.0,1250.0,06,001,400700,516.0,41.3
Oakland,400800,NW,400800,Census Tract 4008; Alameda County; California,4583.0,2441.0,371.0,690.0,596.0,2228.0,86.0,62.0,150.0,164.0,1182.0,06,001,400800,462.0,39.1
Oakland,400900,NW,400900,Census Tract 4009; Alameda County; California,2752.0,959.0,759.0,211.0,509.0,2330.0,48.0,0.0,30.0,113.0,738.0,06,001,400900,191.0,25.9
Oakland,401000,NW,401000,Census Tract 4010; Alameda County; California,6529.0,1985.0,2448.0,398.0,896.0,1955.0,175.0,90.0,161.0,233.0,1576.0,06,001,401000,659.0,41.8
Oakland,401100,NW,401100,Census Tract 4011; Alameda County; California,5627.0,2390.0,1003.0,825.0,774.0,2198.0,167.0,64.0,411.0,356.0,2250.0,06,001,401100,998.0,44.4
Oakland,401200,NW,401200,Census Tract 4012; Alameda County; California,3068.0,1764.0,207.0,473.0,355.0,2500.0,24.0,90.0,100.0,166.0,884.0,06,001,401200,380.0,43.0
Oakland,401300,NW,401300,Census Tract 4013; Alameda County; California,4368.0,1459.0,1247.0,735.0,350.0,2185.0,286.0,174.0,92.0,383.0,2119.0,06,001,401300,935.0,44.1
Oakland,401400,NW,401400,Census Tract 4014; Alameda County; California,4876.0,1278.0,1747.0,505.0,1090.0,1899.0,68.0,99.0,135.0,422.0,1320.0,06,001,401400,724.0,54.8
